[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-96350', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-a-jar.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[worker] MQTT connected — startup=234ms
[worker] subscribed → benchmark/#
[metrics] elapsed=292s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=647/s last_commit=0ms max_commit=294ms
[metrics] elapsed=294s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=642/s last_commit=0ms max_commit=294ms
[metrics] elapsed=296s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=638/s last_commit=0ms max_commit=294ms
[metrics] elapsed=298s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=634/s last_commit=0ms max_commit=294ms
[metrics] elapsed=300s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=630/s last_commit=0ms max_commit=294ms
[metrics] elapsed=302s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=625/s last_commit=0ms max_commit=294ms
[metrics] elapsed=304s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=621/s last_commit=0ms max_commit=294ms
[metrics] elapsed=306s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=617/s last_commit=0ms max_commit=294ms
[metrics] elapsed=308s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=613/s last_commit=0ms max_commit=294ms
[metrics] elapsed=310s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=609/s last_commit=0ms max_commit=294ms
[metrics] elapsed=312s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=605/s last_commit=0ms max_commit=294ms
[metrics] elapsed=314s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=602/s last_commit=0ms max_commit=294ms
[metrics] elapsed=316s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=598/s last_commit=0ms max_commit=294ms
[metrics] elapsed=318s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=594/s last_commit=0ms max_commit=294ms
[metrics] elapsed=320s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=590/s last_commit=0ms max_commit=294ms
[metrics] elapsed=322s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=587/s last_commit=0ms max_commit=294ms
[metrics] elapsed=324s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=583/s last_commit=0ms max_commit=294ms
[metrics] elapsed=326s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=579/s last_commit=0ms max_commit=294ms
[metrics] elapsed=328s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=576/s last_commit=0ms max_commit=294ms
[metrics] elapsed=330s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=572/s last_commit=0ms max_commit=294ms
[metrics] elapsed=332s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=569/s last_commit=0ms max_commit=294ms
[metrics] elapsed=334s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=565/s last_commit=0ms max_commit=294ms
[metrics] elapsed=336s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=562/s last_commit=0ms max_commit=294ms
[metrics] elapsed=338s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=559/s last_commit=0ms max_commit=294ms
[metrics] elapsed=340s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=556/s last_commit=0ms max_commit=294ms
[metrics] elapsed=342s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=552/s last_commit=0ms max_commit=294ms
[metrics] elapsed=344s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=549/s last_commit=0ms max_commit=294ms
[metrics] elapsed=346s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=546/s last_commit=0ms max_commit=294ms
[metrics] elapsed=348s committed=188874 batches=50763 errors=0 dropped=7928 qDepth=0 tps=543/s last_commit=0ms max_commit=294ms
