[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-80884', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-spike-a-jar.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[worker] MQTT connected — startup=243ms
[worker] subscribed → benchmark/#
[metrics] elapsed=308s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=310s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=312s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=314s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=316s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=318s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=320s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=322s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=324s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
[metrics] elapsed=326s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
